,Model,RMSE,MAPE,Weeks ahead,Location
0,CEID-Walk,5.6695529176218376,146253134.3496599,1,AK
1,CEID-Walk,11.734057415428452,40.15515116869258,1,AL
2,CEID-Walk,13.623712966735612,35.372802491186384,1,AR
3,CEID-Walk,15.765440726022039,39.49673126879088,1,AZ
4,CEID-Walk,15.697731938085834,56.2300663598773,1,CA
5,CEID-Walk,10.167538738554184,51.07715316429602,1,CO
6,CEID-Walk,4.916993637231131,49210283.37350252,1,CT
7,CEID-Walk,1.2535663410560174,100.0,1,DC
8,CEID-Walk,1.6352399124986436,33769474.883197285,1,DE
9,CEID-Walk,22.54152122829589,26.197041161839767,1,FL
10,CEID-Walk,14.405961499125482,23.517883856936898,1,GA
11,CEID-Walk,20.633084071115356,84.64935631888837,1,IA
12,CEID-Walk,1.5872902786105094,68.08316326530613,1,ID
13,CEID-Walk,13.85656235455657,83.20336896663424,1,IL
14,CEID-Walk,22.23729898809013,30.000473703781417,1,IN
15,CEID-Walk,11.114233808178462,67.13508348832814,1,KS
16,CEID-Walk,9.171756881084141,33.281208011154774,1,KY
17,CEID-Walk,10.709730001932156,75.2959429952682,1,LA
18,CEID-Walk,13.838983937723585,42.90574361860076,1,MA
19,CEID-Walk,6.495253750679359,56.712166602571756,1,MD
20,CEID-Walk,1.8787364294728977,28567393.80806608,1,ME
21,CEID-Walk,17.735108707226544,34.16635098435341,1,MI
22,CEID-Walk,10.902575980015,45.760643834141604,1,MN
23,CEID-Walk,17.541650785650546,21.242687578046336,1,MO
24,CEID-Walk,8.176274168942374,32.78773668569975,1,MS
25,CEID-Walk,5.0555432801176625,39.063105107090074,1,MT
26,CEID-Walk,41.242607015422436,82.51629541178174,1,NC
27,CEID-Walk,7.398776066736597,193479741.87488246,1,ND
28,CEID-Walk,13.247487686350194,32.71323606030435,1,NE
29,CEID-Walk,4.601925357934437,167.8823292693701,1,NH
30,CEID-Walk,10.770171573112739,31.88430837158712,1,NJ
31,CEID-Walk,5.632180610436017,62387802.850789614,1,NM
32,CEID-Walk,7.308903806805974,61.8538257207645,1,NV
33,CEID-Walk,16.278756687342995,42.185798542018766,1,NY
34,CEID-Walk,19.013263701201552,40.685853358578825,1,OH
35,CEID-Walk,27.424544186861937,41.678434869952945,1,OK
36,CEID-Walk,2.6871280207686423,87.94761904761904,1,OR
37,CEID-Walk,19.687222204842847,38.00887290199881,1,PA
38,CEID-Walk,1.2551435888261664,31212248.959183674,1,RI
39,CEID-Walk,6.7703702156634575,37.85323094040928,1,SC
40,CEID-Walk,9.700015957277007,39.38494507030427,1,SD
41,CEID-Walk,11.748620101344425,25.669408371379443,1,TN
42,CEID-Walk,98.12937015345754,53.89086622354425,1,TX
43,CEID-Walk,353.3670000685245,25.565958311983277,1,US
44,CEID-Walk,3.0867632145756083,32.04408163265306,1,UT
45,CEID-Walk,6.197357040361181,14.826219644199504,1,VA
46,CEID-Walk,0.6856189070571826,26142904.38979592,1,VT
47,CEID-Walk,3.1427899343463235,50.223775510204085,1,WA
48,CEID-Walk,17.32990011099726,27.59769538298625,1,WI
49,CEID-Walk,7.742413706332154,49.5010874093227,1,WV
50,CEID-Walk,4.083476530045027,95.94693877551019,1,WY
51,CEID-Walk,4.623439427834773,143185792.95,2,AK
52,CEID-Walk,11.237822189883081,42.82558334047905,2,AL
53,CEID-Walk,21.056423383715615,41.454837793081104,2,AR
54,CEID-Walk,20.96825483575452,34.98485733329734,2,AZ
55,CEID-Walk,22.8992961838194,55.160774643190614,2,CA
56,CEID-Walk,13.552628358682734,47.81910826850677,2,CO
57,CEID-Walk,3.9250364329519285,29671505.932142857,2,CT
58,CEID-Walk,1.9639610121239315,100.0,2,DC
59,CEID-Walk,3.6619914761545487,32124576.469630707,2,DE
60,CEID-Walk,23.571999487891198,24.30069359930504,2,FL
61,CEID-Walk,11.858106654460965,21.662417430950168,2,GA
62,CEID-Walk,28.615577842946212,81.47230921690797,2,IA
63,CEID-Walk,5.236421419797521,73.03150510204081,2,ID
64,CEID-Walk,16.954381907257574,78.40446814974877,2,IL
65,CEID-Walk,34.334711111976134,40.175632922650315,2,IN
66,CEID-Walk,16.66581126566772,68.95694996768358,2,KS
67,CEID-Walk,11.738270930105994,37.63671914155055,2,KY
68,CEID-Walk,15.333577934902026,61.89855749729022,2,LA
69,CEID-Walk,13.710252081667102,39.2321134354217,2,MA
70,CEID-Walk,6.821555499193086,40.552139730351016,2,MD
71,CEID-Walk,2.535183988814788,67.04402332361516,2,ME
72,CEID-Walk,25.548060471533702,39.79787391261962,2,MI
73,CEID-Walk,23.323103959072732,64.83240256258856,2,MN
74,CEID-Walk,17.00801388001718,22.776516137023656,2,MO
75,CEID-Walk,11.295674734794984,33.34892260002424,2,MS
76,CEID-Walk,6.18391906480025,40.26350289643522,2,MT
77,CEID-Walk,42.45611930486077,62.60012906273621,2,NC
78,CEID-Walk,10.907453617988546,210663464.36519822,2,ND
79,CEID-Walk,13.951411981792893,28.282412968915434,2,NE
80,CEID-Walk,7.404697746315221,159.21887755102043,2,NH
81,CEID-Walk,11.44657163895436,26.501694209391076,2,NJ
82,CEID-Walk,6.667658680954978,25677614.777356658,2,NM
83,CEID-Walk,11.4765489026225,67.15651522513767,2,NV
84,CEID-Walk,23.459928397771623,54.25546548694666,2,NY
85,CEID-Walk,24.5831138007954,41.982068674619505,2,OH
86,CEID-Walk,37.56039669271726,37.49537656053716,2,OK
87,CEID-Walk,3.461626289972471,99.58962585034011,2,OR
88,CEID-Walk,28.24860433214862,38.10696427345356,2,PA
89,CEID-Walk,1.0700752977511176,40228590.03673469,2,RI
90,CEID-Walk,8.385103602733327,35.99343906572109,2,SC
91,CEID-Walk,11.168286561253955,39.85772512114894,2,SD
92,CEID-Walk,12.283227001542736,24.931651143447187,2,TN
93,CEID-Walk,147.5353512411759,57.75331911153621,2,TX
94,CEID-Walk,554.6966355445367,27.475096294158348,2,US
95,CEID-Walk,5.000905389455565,36.33061224489796,2,UT
96,CEID-Walk,6.915464130689794,16.30608217763003,2,VA
97,CEID-Walk,0.6456740663833417,23595966.02244898,2,VT
98,CEID-Walk,5.616574248215214,48.538736637512145,2,WA
99,CEID-Walk,18.19654084473985,28.402016059903655,2,WI
100,CEID-Walk,9.153120498340598,55.979175892579256,2,WV
101,CEID-Walk,3.485421679756165,99.68340136054421,2,WY
102,CEID-Walk,5.2719318091189304,155800058.08333334,3,AK
103,CEID-Walk,13.032209271646922,42.16320285753191,3,AL
104,CEID-Walk,25.318057969230843,44.85996373093215,3,AR
105,CEID-Walk,27.613411113684116,37.744068296827585,3,AZ
106,CEID-Walk,25.50838499069146,59.86426711972669,3,CA
107,CEID-Walk,15.827731681029556,46.78589766574124,3,CO
108,CEID-Walk,5.034680939907381,29141739.005059518,3,CT
109,CEID-Walk,2.1213203435596424,100.0,3,DC
110,CEID-Walk,3.1621762548388515,38961181.49338624,3,DE
111,CEID-Walk,19.26213115156264,23.76716924088463,3,FL
112,CEID-Walk,12.259205901416834,22.04958943444176,3,GA
113,CEID-Walk,34.69874985019874,64.31437796818552,3,IA
114,CEID-Walk,6.761416937299459,70.64710648148149,3,ID
115,CEID-Walk,16.924451458368353,63.36924954372871,3,IL
116,CEID-Walk,35.05343436098666,43.852093875621186,3,IN
117,CEID-Walk,20.675891762307778,50.99666575292399,3,KS
118,CEID-Walk,11.89041658928175,37.66495217745218,3,KY
119,CEID-Walk,22.24806775879649,64.82833143260562,3,LA
120,CEID-Walk,13.32627748723051,50.75105309152092,3,MA
121,CEID-Walk,5.3164811357388135,34.5262348979996,3,MD
122,CEID-Walk,3.140760788938459,55.52962962962962,3,ME
123,CEID-Walk,33.261174513236895,44.41765025527536,3,MI
124,CEID-Walk,20.47752164773202,56.66166633832446,3,MN
125,CEID-Walk,23.09754240534405,27.2120257240323,3,MO
126,CEID-Walk,10.50409265477033,29.268308311522002,3,MS
127,CEID-Walk,6.03768255762645,37.63867528507879,3,MT
128,CEID-Walk,43.82152722312023,63.2287090314521,3,NC
129,CEID-Walk,13.054771286136472,275366894.70263886,3,ND
130,CEID-Walk,17.74103599474018,34.99291646616191,3,NE
131,CEID-Walk,7.417489557345756,125.81713493478199,3,NH
132,CEID-Walk,12.439605359495935,29.92217944385297,3,NJ
133,CEID-Walk,6.241924035637302,74.78994708994708,3,NM
134,CEID-Walk,11.573529251413905,71.69192019400353,3,NV
135,CEID-Walk,28.45815774665207,60.86439354104215,3,NY
136,CEID-Walk,28.470663758214936,45.748375993251834,3,OH
