,Model,Weeks ahead,Location,LS,CRPS,CS
0,CEID-Walk,1,AK,-5.227291488431272,3.0524473220246082,3.1919999999999993
1,CEID-Walk,1,AL,-7.881388740321408,6.725763617864615,3.1919999999999993
2,CEID-Walk,1,AR,-10.0,8.953141574992516,3.1919999999999993
3,CEID-Walk,1,AZ,-10.0,9.606309886986674,3.1919999999999993
4,CEID-Walk,1,CA,-8.395293985158522,9.344702995314508,3.1919999999999993
5,CEID-Walk,1,CO,-7.0868733451667705,5.911895372277337,3.1919999999999993
6,CEID-Walk,1,CT,-5.085770188895495,2.7396172090342374,3.1919999999999993
7,CEID-Walk,1,DC,,,3.420000000000001
8,CEID-Walk,1,DE,-4.459933041133368,0.9449766548789681,3.1919999999999993
9,CEID-Walk,1,FL,-10.0,13.884083493874744,3.1919999999999993
10,CEID-Walk,1,GA,-10.0,8.548545259886735,3.1919999999999993
11,CEID-Walk,1,IA,-7.845255122392913,13.449033086620773,3.1919999999999993
12,CEID-Walk,1,ID,-5.046949843329069,0.8355104377028176,3.1919999999999993
13,CEID-Walk,1,IL,-7.453336025952249,7.555544545831751,3.1919999999999993
14,CEID-Walk,1,IN,-8.781091870491474,12.896570026769576,3.1919999999999993
15,CEID-Walk,1,KS,-8.717786711049516,6.761740064242958,3.1919999999999993
16,CEID-Walk,1,KY,-8.817120636441112,5.910082770047455,3.1919999999999993
17,CEID-Walk,1,LA,-7.535905044117668,6.151234139599983,3.1919999999999993
18,CEID-Walk,1,MA,-10.0,8.161152064547778,3.1919999999999993
19,CEID-Walk,1,MD,-7.15876040529215,4.169042709320005,3.1919999999999993
20,CEID-Walk,1,ME,-4.74026157053418,1.046610213055311,3.1919999999999993
21,CEID-Walk,1,MI,-10.0,11.096827309295643,3.1919999999999993
22,CEID-Walk,1,MN,-7.2053134424899055,7.940743491266082,3.1919999999999993
23,CEID-Walk,1,MO,-10.0,9.92610122604786,3.1919999999999993
24,CEID-Walk,1,MS,-9.367380080684308,5.031586318959867,3.1919999999999993
25,CEID-Walk,1,MT,-6.3658471108754044,3.0466875340748167,3.1919999999999993
26,CEID-Walk,1,NC,-9.571757035066216,22.31372561641927,3.1919999999999993
27,CEID-Walk,1,ND,-6.628846860852341,4.22136357738474,3.1919999999999993
28,CEID-Walk,1,NE,-10.0,8.455869677385975,3.1919999999999993
29,CEID-Walk,1,NH,-5.287896197124373,2.6769198230152296,3.1919999999999993
30,CEID-Walk,1,NJ,-9.732332065366547,6.977299672972142,3.1919999999999993
31,CEID-Walk,1,NM,-4.3336030539183925,3.5586616592330946,3.1919999999999993
32,CEID-Walk,1,NV,-6.115121750088599,4.711056867255605,3.1919999999999993
33,CEID-Walk,1,NY,-7.629387817920124,10.443918351336334,3.1919999999999993
34,CEID-Walk,1,OH,-8.86316675706181,10.791268024322425,3.1919999999999993
35,CEID-Walk,1,OK,-9.961692415290116,15.795660625331408,3.1919999999999993
36,CEID-Walk,1,OR,-5.056089809723609,1.664465432114985,3.1919999999999993
37,CEID-Walk,1,PA,-10.0,11.56994063873469,3.1919999999999993
38,CEID-Walk,1,RI,-3.7961985906861435,0.7998489987839845,3.1919999999999993
39,CEID-Walk,1,SC,-7.760736209068817,3.9303416129508486,3.1919999999999993
40,CEID-Walk,1,SD,-7.196557779912448,5.749598338691361,3.1919999999999993
41,CEID-Walk,1,TN,-9.013062714539101,7.202812127585995,3.1919999999999993
42,CEID-Walk,1,TX,-10.0,63.476783294286285,3.1919999999999993
43,CEID-Walk,1,US,-10.0,226.51589809613046,3.1919999999999993
44,CEID-Walk,1,UT,-6.984430026912451,1.7774472366683385,3.1919999999999993
45,CEID-Walk,1,VA,-10.0,3.356323825292234,3.1919999999999993
46,CEID-Walk,1,VT,,,3.23
47,CEID-Walk,1,WA,-7.430238574688671,2.0192946158477407,3.1919999999999993
48,CEID-Walk,1,WI,-8.692692292565892,9.376721906753422,3.1919999999999993
49,CEID-Walk,1,WV,-6.759694716181592,4.762294057941558,3.1919999999999993
50,CEID-Walk,1,WY,-5.288383589499383,2.2792027481911594,3.1919999999999993
51,CEID-Walk,2,AK,-5.094085794481669,2.211685253473661,3.1919999999999993
52,CEID-Walk,2,AL,-6.701085564556608,6.502830514590618,3.1919999999999993
53,CEID-Walk,2,AR,-9.5946923260045,14.953811579570305,3.1919999999999993
54,CEID-Walk,2,AZ,-9.851095879528014,12.984852967758966,3.1919999999999993
55,CEID-Walk,2,CA,-7.678629466426528,13.90795078199705,3.1919999999999993
56,CEID-Walk,2,CO,-6.678260493546027,8.093992037591649,3.1919999999999993
57,CEID-Walk,2,CT,-4.795295795073633,2.5982039265631847,3.1919999999999993
58,CEID-Walk,2,DC,,,3.420000000000001
59,CEID-Walk,2,DE,-4.547352073311439,2.216548309053248,3.1919999999999993
60,CEID-Walk,2,FL,-9.035438993323064,15.123084794924477,3.1919999999999993
61,CEID-Walk,2,GA,-8.805382731206155,7.3884622533791555,3.1919999999999993
62,CEID-Walk,2,IA,-6.835166525956482,19.46651709032199,3.1919999999999993
63,CEID-Walk,2,ID,-4.096905439791393,2.813010239609227,3.1919999999999993
64,CEID-Walk,2,IL,-6.8617778891043555,9.36251686333685,3.1919999999999993
65,CEID-Walk,2,IN,-8.178494247140518,20.136781495216322,3.1919999999999993
66,CEID-Walk,2,KS,-7.27474054598263,10.155889893249022,3.1919999999999993
67,CEID-Walk,2,KY,-7.204473214027217,7.7294715499660445,3.1919999999999993
68,CEID-Walk,2,LA,-6.892177847564765,9.44825292259697,3.1919999999999993
69,CEID-Walk,2,MA,-8.640197551822526,8.356889392869759,3.1919999999999993
70,CEID-Walk,2,MD,-6.427823639608874,4.304824316524374,3.1919999999999993
71,CEID-Walk,2,ME,-4.735963473653131,1.4081226368369337,3.1919999999999993
72,CEID-Walk,2,MI,-9.743689029140247,17.57230127824896,3.1919999999999993
73,CEID-Walk,2,MN,-7.324498997323028,13.203970123061229,3.1919999999999993
74,CEID-Walk,2,MO,-9.714796344837726,10.299852104221133,3.1919999999999993
75,CEID-Walk,2,MS,-8.104642651468676,7.0698070599855045,3.1919999999999993
76,CEID-Walk,2,MT,-6.277550283609278,3.6416102920860314,3.1919999999999993
77,CEID-Walk,2,NC,-8.74105012359588,25.945778624805282,3.1919999999999993
78,CEID-Walk,2,ND,-6.318305946289227,6.262741387496264,3.1919999999999993
79,CEID-Walk,2,NE,-10.0,8.184962340873096,3.1919999999999993
80,CEID-Walk,2,NH,-5.16635070627588,4.728835942807065,3.1919999999999993
81,CEID-Walk,2,NJ,-8.06677766594319,7.620026864459228,3.1919999999999993
82,CEID-Walk,2,NM,-4.252654258129868,4.900312598853631,3.1919999999999993
83,CEID-Walk,2,NV,-5.294530525427811,7.309467883710771,3.1919999999999993
84,CEID-Walk,2,NY,-6.790351444743969,15.564071168431365,3.1919999999999993
85,CEID-Walk,2,OH,-7.725472292307474,14.894163243258761,3.1919999999999993
86,CEID-Walk,2,OK,-9.599205285844505,23.38655366824614,3.1919999999999993
87,CEID-Walk,2,OR,-5.054575995905209,2.0927248405120285,3.1919999999999993
88,CEID-Walk,2,PA,-8.65048098504636,16.690316700734606,3.1919999999999993
89,CEID-Walk,2,RI,-3.6086907750627524,0.5937061948882267,3.1919999999999993
90,CEID-Walk,2,SC,-6.647823506444822,4.8937472750554365,3.1919999999999993
91,CEID-Walk,2,SD,-6.868959592723044,6.150680083105821,3.1919999999999993
92,CEID-Walk,2,TN,-8.350167203370159,7.175288160294789,3.1919999999999993
93,CEID-Walk,2,TX,-10.0,106.74482159675098,3.1919999999999993
94,CEID-Walk,2,US,-10.0,365.3317762023031,3.1919999999999993
95,CEID-Walk,2,UT,-5.585036351384294,3.0135078037864393,3.1919999999999993
96,CEID-Walk,2,VA,-10.0,4.201491640672471,3.1919999999999993
97,CEID-Walk,2,VT,,,3.23
98,CEID-Walk,2,WA,-6.961595227381251,2.8727011038891876,3.1919999999999993
99,CEID-Walk,2,WI,-7.421049204119353,11.44991810147356,3.1919999999999993
100,CEID-Walk,2,WV,-6.182605841798337,5.797924467211033,3.1919999999999993
101,CEID-Walk,2,WY,-5.13952393961389,2.2418902669875878,3.1919999999999993
102,CEID-Walk,3,AK,-5.396107324065576,2.8278587120044896,2.7359999999999998
103,CEID-Walk,3,AL,-6.583676224219979,7.424058293927815,2.7359999999999998
104,CEID-Walk,3,AR,-8.22742425703896,17.64481432851612,2.7359999999999998
105,CEID-Walk,3,AZ,-8.426874687892736,17.292585991489187,2.7359999999999998
106,CEID-Walk,3,CA,-7.503726233227155,14.735932056164694,2.7359999999999998
107,CEID-Walk,3,CO,-6.525938520043124,9.885411131794978,2.7359999999999998
108,CEID-Walk,3,CT,-5.109038115379704,3.0968375748078683,2.7359999999999998
109,CEID-Walk,3,DC,,,2.9640000000000004
110,CEID-Walk,3,DE,-4.66852087499991,1.7477543950172263,2.7359999999999998
111,CEID-Walk,3,FL,-8.97582830322919,14.211680837900069,2.7359999999999998
112,CEID-Walk,3,GA,-8.529497651331726,7.8295156408922395,2.7359999999999998
113,CEID-Walk,3,IA,-6.4960352787961915,26.49304208305848,2.7359999999999998
114,CEID-Walk,3,ID,-4.165270652755999,3.606842716415805,2.7359999999999998
115,CEID-Walk,3,IL,-6.723536797955847,9.959805523597085,2.7359999999999998
116,CEID-Walk,3,IN,-7.915941625748199,23.773738152690544,2.7359999999999998
117,CEID-Walk,3,KS,-6.6546238300501654,12.807670869395972,2.7359999999999998
118,CEID-Walk,3,KY,-6.795987163604136,7.370604897023895,2.7359999999999998
119,CEID-Walk,3,LA,-6.423759977416682,13.658667283156696,2.7359999999999998
120,CEID-Walk,3,MA,-8.889934525562163,7.923435742689058,2.7359999999999998
121,CEID-Walk,3,MD,-6.322111714893129,3.7033550449920747,2.7359999999999998
122,CEID-Walk,3,ME,-4.722988310283367,1.7914432542910355,2.7359999999999998
123,CEID-Walk,3,MI,-8.664387972412888,23.392107526256705,2.7359999999999998
124,CEID-Walk,3,MN,-7.282664178120132,11.797897513151975,2.7359999999999998
125,CEID-Walk,3,MO,-8.841449138598836,12.726813086634683,2.7359999999999998
126,CEID-Walk,3,MS,-7.24233139850681,6.9544986211787325,2.7359999999999998
127,CEID-Walk,3,MT,-5.867099599993576,3.985718845977964,2.7359999999999998
128,CEID-Walk,3,NC,-7.871919796965531,27.51765953208144,2.7359999999999998
129,CEID-Walk,3,ND,-6.491133325074423,7.454929258715773,2.7359999999999998
130,CEID-Walk,3,NE,-9.358370022666318,10.6484564799714,2.7359999999999998
131,CEID-Walk,3,NH,-5.297592190892295,4.410498699626436,2.7359999999999998
132,CEID-Walk,3,NJ,-7.2509898412284315,8.324317134172018,2.7359999999999998
133,CEID-Walk,3,NM,-4.234811794561246,4.779324811491272,2.7359999999999998
134,CEID-Walk,3,NV,-5.377993501593084,6.765210682934,2.7359999999999998
135,CEID-Walk,3,NY,-6.5958656291220406,18.865307182509028,2.7359999999999998
136,CEID-Walk,3,OH,-7.479425544635318,17.957412888911254,2.7359999999999998
137,CEID-Walk,3,OK,-8.737856165134279,28.162417691876552,2.7359999999999998
138,CEID-Walk,3,OR,-4.9816293972292085,1.2902311748584687,2.7359999999999998
139,CEID-Walk,3,PA,-8.487565637433585,18.769609208527434,2.7359999999999998
140,CEID-Walk,3,RI,-3.8988355042388463,0.7569224934827828,2.7359999999999998
141,CEID-Walk,3,SC,-6.4816162432780295,5.352303026185147,2.7359999999999998
142,CEID-Walk,3,SD,-6.699380170661359,5.3969442563331,2.7359999999999998
143,CEID-Walk,3,TN,-7.244175192562815,6.3451422699420545,2.7359999999999998
144,CEID-Walk,3,TX,-9.303521521867351,161.69061336434723,2.7359999999999998
145,CEID-Walk,3,US,-10.0,432.8414302526671,2.7359999999999998
146,CEID-Walk,3,UT,-5.197735850200136,3.438943948873819,2.7359999999999998
147,CEID-Walk,3,VA,-10.0,3.684812911968063,2.7359999999999998
148,CEID-Walk,3,VT,,,2.774
149,CEID-Walk,3,WA,-6.456857767717345,3.240187775279505,2.7359999999999998
150,CEID-Walk,3,WI,-7.140410066915493,11.949998160857135,2.7359999999999998
151,CEID-Walk,3,WV,-6.014361925138129,7.506739970136446,2.7359999999999998
152,CEID-Walk,3,WY,-5.155813758744308,2.306263343074821,2.7359999999999998
153,CEID-Walk,4,AK,-5.638989664615507,3.584856441619601,2.2799999999999994
154,CEID-Walk,4,AL,-6.371049342623364,10.26424702167719,2.2799999999999994
155,CEID-Walk,4,AR,-7.370656709970947,17.626249322034287,2.2799999999999994
156,CEID-Walk,4,AZ,-8.003402080054844,19.88008345770705,2.2799999999999994
157,CEID-Walk,4,CA,-7.588881574938624,16.409558136951915,2.2799999999999994
158,CEID-Walk,4,CO,-6.646063158487647,9.920263610094512,2.2799999999999994
159,CEID-Walk,4,CT,-5.30022608673612,2.7650410877669684,2.2799999999999994
160,CEID-Walk,4,DC,,,2.47
161,CEID-Walk,4,DE,-4.756909548481468,1.5336670200673221,2.2799999999999994
162,CEID-Walk,4,FL,-8.307939423352606,21.817525904946926,2.2799999999999994
163,CEID-Walk,4,GA,-7.69806048492792,9.604547818930659,2.2799999999999994
164,CEID-Walk,4,IA,-6.237119860452534,37.423645558260525,2.2799999999999994
165,CEID-Walk,4,ID,-4.052045948166155,4.054978945928035,2.2799999999999994
166,CEID-Walk,4,IL,-6.895403776127411,13.075147705754324,2.2799999999999994
167,CEID-Walk,4,IN,-7.292437924732548,28.24105956045605,2.2799999999999994
168,CEID-Walk,4,KS,-6.802738463374555,12.356451739134265,2.2799999999999994
169,CEID-Walk,4,KY,-6.263386167790117,8.578108153111845,2.2799999999999994
170,CEID-Walk,4,LA,-6.33941470527472,15.446104114694345,2.2799999999999994
171,CEID-Walk,4,MA,-7.519154680818585,8.027633108908818,2.2799999999999994
172,CEID-Walk,4,MD,-6.241000773219294,5.806348546359959,2.2799999999999994
173,CEID-Walk,4,ME,-4.515433129545092,1.9477337822957665,2.2799999999999994
174,CEID-Walk,4,MI,-7.162375912847743,31.36366819624083,2.2799999999999994
175,CEID-Walk,4,MN,-7.108026154110911,13.581483636447633,2.2799999999999994
176,CEID-Walk,4,MO,-7.678097806655456,17.672064591977524,2.2799999999999994
177,CEID-Walk,4,MS,-6.827380300874951,9.436989829972543,2.2799999999999994
178,CEID-Walk,4,MT,-6.052963843095219,4.212075888310318,2.2799999999999994
179,CEID-Walk,4,NC,-8.063142485844114,31.818665479264816,2.2799999999999994
